Population,Row,Cross,PlantNo,,,,,
Oil Mapping Pop 202,N18-1845,MX15-6,322,,,,,
Oil Mapping Pop 202,N18-1846,MX15-6,323,,,,,
Oil Mapping Pop 202,N18-1847,MX15-6,324,,,,,
Oil Mapping Pop 202,N18-1848,MX15-6,325,,,,,
Oil Mapping Pop 202,N18-1849,MX15-6,326,,,,,
Oil Mapping Pop 202,N18-1850,MX15-6,329,,,,,
Oil Mapping Pop 202,N18-1851,MX15-6,331,,,,,
Oil Mapping Pop 202,N18-1852,CAMP,332,,,,,
Oil Mapping Pop 202,N18-1853,MX15-6,333,,,,,
Oil Mapping Pop 202,N18-1854,MX15-6,334,,,,,
Oil Mapping Pop 202,N18-1855,MX15-6,335,,,,,
Oil Mapping Pop 202,N18-1856,MX15-6,336,,,,,
Oil Mapping Pop 202,N18-1857,MX15-6,337,,,,,
Oil Mapping Pop 202,N18-1858,MX15-6,338,,,,,
Oil Mapping Pop 202,N18-1859,MX15-6,340,,,,,
Oil Mapping Pop 202,N18-1860,MX15-6,342,,,,,
Oil Mapping Pop 202,N18-1861,MX15-6,343,,,,,
Oil Mapping Pop 202,N18-1862,MX15-6,345,,,,,
Oil Mapping Pop 202,N18-1863,MX15-6,347,,,,,
Oil Mapping Pop 202,N18-1864,MX15-6,348,,,,,
Oil Mapping Pop 202,N18-1865,MX15-6,349,,,,,
Oil Mapping Pop 202,N18-1866,MX15-6,350,,,,,
Oil Mapping Pop 202,N18-1867,MX15-6,352,,,,,
Oil Mapping Pop 202,N18-1868,MX15-6,353,,,,,
Oil Mapping Pop 202,N18-1869,MX15-6,354,,,,,
Oil Mapping Pop 202,N18-1870,MX15-6,355,,,,,
Oil Mapping Pop 202,N18-1871,MX15-6,356,,,,,
Oil Mapping Pop 202,N18-1872,MX15-6,357,,,,,
Oil Mapping Pop 202,N18-1873,MX15-6,358,,,,,
Oil Mapping Pop 202,N18-1874,MX15-6,359,,,,,
Oil Mapping Pop 202,N18-1875,MX15-6,360,,,,,
Oil Mapping Pop 202,N18-1876,MX15-6,361,,,,,
Oil Mapping Pop 202,N18-1877,MX15-6,362,,,,,
Oil Mapping Pop 202,N18-1878,MX15-6,363,,,,,
Oil Mapping Pop 202,N18-1879,MX15-6,364,,,,,
Oil Mapping Pop 202,N18-1880,MX15-6,365,,,,,
Oil Mapping Pop 202,N18-1881,MX15-6,366,,,,,
Oil Mapping Pop 202,N18-1882,MX15-6,367,,,,,
Oil Mapping Pop 202,N18-1883,MX15-6,368,,,,,
Oil Mapping Pop 202,N18-1884,MX15-6,369,,,,,
Oil Mapping Pop 202,N18-1885,MX15-6,370,,,,,
Oil Mapping Pop 202,N18-1886,MX15-6,374,,,,,
Oil Mapping Pop 202,N18-1887,MX15-6,375,,,,,
Oil Mapping Pop 202,N18-1888,MX15-6,376,,,,,
Oil Mapping Pop 202,N18-1889,MX15-6,377,,,,,
Oil Mapping Pop 202,N18-1890,MX15-6,378,,,,,
Oil Mapping Pop 202,N18-1891,MX15-6,379,,,,,
Oil Mapping Pop 202,N18-1892,MX15-6,380,,,,,
Oil Mapping Pop 202,N18-1893,MX15-6,382,,,,,
Oil Mapping Pop 202,N18-1894,MX15-6,384,,,,,
Oil Mapping Pop 202,N18-1895,MX15-6,386,,,,,
Oil Mapping Pop 202,N18-1896,MX15-6,392,,,,,
Oil Mapping Pop 202,N18-1897,MX15-6,395,,,,,
Oil Mapping Pop 202,N18-1898,MX15-6,396,,,,,
Oil Mapping Pop 202,N18-1899,MX15-6,400,,,,,
Oil Mapping Pop 202,N18-1900,MX15-6,401,,,,,
Oil Mapping Pop 202,N18-1901,MX15-6,402,,,,,
Oil Mapping Pop 202,N18-1902,MX15-6,403,,,,,
Oil Mapping Pop 202,N18-1903,MX15-6,404,,,,,
Oil Mapping Pop 202,N18-1904,MX15-6,405,,,,,
Oil Mapping Pop 202,N18-1905,MX15-6,407,,,,,
Oil Mapping Pop 202,N18-1906,MX15-6,408,,,,,
Oil Mapping Pop 202,N18-1907,MX15-6,409,,,,,
Oil Mapping Pop 202,N18-1908,MX15-6,410,,,,,
Oil Mapping Pop 202,N18-1909,MX15-6,411,,,,,
Oil Mapping Pop 202,N18-1910,MX15-6,412,,,,,
Oil Mapping Pop 202,N18-1911,MX15-6,413,,,,,
Oil Mapping Pop 202,N18-1912,MX15-6,414,,,,,
Oil Mapping Pop 202,N18-1913,MX15-6,415,,,,,
Oil Mapping Pop 202,N18-1914,MX15-6,417,,,,,
Oil Mapping Pop 202,N18-1915,MX15-6,418,,,,,
Oil Mapping Pop 202,N18-1916,MX15-6,419,,,,,
Oil Mapping Pop 202,N18-1917,MX15-6,420,,,,,
Oil Mapping Pop 202,N18-1918,MX15-6,424,,,,,
Oil Mapping Pop 202,N18-1919,MX15-6,426,,,,,
Oil Mapping Pop 202,N18-1920,MX15-6,427,,,,,
Oil Mapping Pop 202,N18-1921,MX15-6,428,,,,,
Oil Mapping Pop 202,N18-1922,MX15-6,431,,,,,
Oil Mapping Pop 202,N18-1923,MX15-6,432,,,,,
Oil Mapping Pop 202,N18-1924,MX15-6,434,,,,,
Oil Mapping Pop 202,N18-1925,MX15-6,437,,,,,
Oil Mapping Pop 202,N18-1926,MX15-6,438,,,,,
Oil Mapping Pop 202,N18-1927,MX15-6,439,,,,,
Oil Mapping Pop 202,N18-1928,MX15-6,441,,,,,
Oil Mapping Pop 202,N18-1929,MX15-6,442,,,,,
Oil Mapping Pop 202,N18-1930,MX15-6,444,,,,,
Oil Mapping Pop 202,N18-1931,MX15-6,445,,,,,
Oil Mapping Pop 202,N18-1932,MX15-6,449,,,,,
Oil Mapping Pop 202,N18-1933,MX15-6,451,,,,,
Oil Mapping Pop 202,N18-1934,MX15-6,452,,,,,
Oil Mapping Pop 202,N18-1935,MX15-6,454,,,,,
Oil Mapping Pop 202,N18-1936,MX15-6,456,,,,,
Oil Mapping Pop 202,N18-1937,MX15-6,457,,,,,
Oil Mapping Pop 202,N18-1938,MX15-6,458,,,,,
Oil Mapping Pop 202,N18-1939,MX15-6,459,,,,,
Oil Mapping Pop 202,N18-1940,MX15-6,460,,,,,
Oil Mapping Pop 202,N18-1941,MX15-6,461,,,,,
