Column1,Column2,Column3
PI ,Common Name (from GRIN),
PI685650,1064868,
PI685651,1064871,
PI685642,1067511,
PI685652,1067515,
PI685709,1067519,
PI686347,1067522,
PI685690,1067523,
PI685691,1067525,
PI685692,1067526,
PI685693,1067531,
PI685694,1067534,
PI685695,1067535,
PI685653,1068070,
PI685654,1068087,
PI685655,1068112,
PI685643,1068118,
PI685696,1068122,
PI685656,1068124,
PI685698,1068134,
PI685657,1068135,
PI685644,1068138,
PI685697,1068143,
PI685699,1068801,
PI685700,1068802,
PI685701,1068804,
PI685706,1068831,
PI685702,1068884,
PI685647,1068891,
PI685648,1068895,
PI685703,1069661,
PI646189,1335025,
PI642346,1336024,
PI638685,1339013,
PI633007,1465003,
PI642318,1486018,
PI646190,1686017,
PI628660,2324990,
PI634598,2386009,
PI646192,2387029,
PI646191,2388028,
PI638687,3133014,
PI633051,3186004,
PI642344,3235020,
PI634596,3282002,
PI647991,4010165,
PI638686,4136015,
PI647992,4175567,
PI642348,4183026,
PI642319,4189010,
PI647993,4219527,
PI647994,4247825,
PI634570,4283008,
PI647995,4309194,
PI647996,4353363,
PI648003,4440685,
PI648031,4498438,
PI647997,4559808,
PI647998,4599695,
PI647999,4684181,
PI648000,4782157,
PI648001,4788561,
PI648235,4896902,
PI648002,4958786,
PI642167,5083011,
PI634597,5091007,
PI638688,6084016,
PI642347,6188027,
PI633008,7085005,
PI675745B,((172)A 28),Not in GRIN
PI675943B,((176)__u t__ng h_t _en h_t to),Not in GRIN
PI675753B,((184)_T vàng thu_n châu ),Not in GRIN
PI675754B,((186)hoa tr_ng),Not in GRIN
PI675756B,((188)_T _i_n biên h_t to),Not in GRIN
PI675690B,((23)__u t__ng h_t xanh),Not in GRIN
PI675695B,((32)__u t__ng __a ph__ng),Not in GRIN
PI675697B,((34)__u t__ng __a ph__ng),Not in GRIN
PI399087,(1)       Cholla Pukdo,
PI399064,(1)       Chungchong Pukdo,
PI399052,(1)       Kangwon,
PI399096,(10)      Cholla Pukdo,
PI399061,(10)      Kangwon,
PI399121,(10)      Kyongsang Pukdo,
PI399097,(11)      Cholla Pukdo,
PI399062,(11)      Kangwon,
PI399122,(11)      Kyongsang Pukdo,
PI399098,(12)      Cholla Pukdo,
PI399081,(12)      Chungchong Namdo,
PI399123,(12)      Kyongsang Pukdo,
PI399099,(13)      Cholla Pukdo,
PI399082,(13)      Chungchong Namdo,
PI399124,(13)      Kyongsang Pukdo,
PI399100,(14)      Cholla Pukdo,
PI399083,(14)      Chungchong Namdo,
PI399125,(14)      Kyongsang Pukdo,
PI675937,(149)CG xuân t_o 1,
PI399101,(15)      Cholla Pukdo,
PI399084,(15)      Chungchong Namdo,
PI675938,(150)CG xuân t_o 2,Not in GRIN
PI675732,(153)CG 4725,not in GRIN
PI675733,(154)CG,not in GRIN
PI675734,(155)CG,not in GRIN
PI675939,(157)CG huasteca 100,not in GRIN
PI675940,(158)CG nagaky(soybean black),not in GRIN
PI675735,(159)CG ,not in GRIN
PI399085,(16)      Chungchong Namdo,
PI675686,(16)__u t__ng __a ph__ng,
PI675941,(161)CG qu_ xuân ,
PI675736,(162)CG,
PI675737,(163)CG DT90,
PI675738,(164)CG DT2001,
PI675739,(165)CG,
PI675740,(166)CG DT2003,
PI675741,(167)CG DT96,
PI675742,(168)DVN5,
PI675743,(169)DVN6,
PI399086,(17)      Chungchong Namdo,
PI675687,(17)__u t__ng __a ph__ng,
PI675744,(170)DVN9,
PI675745A,(172)A 28,
PI675746,(173)_T 2003,
PI675747,(174)_T 90,
PI675942,(175)__u t__ng h_t _en h_t nh_,
PI675943A,(176)__u t__ng h_t _en h_t to,
PI675943,(176)__u t__ng h_t _en h_t to,
PI675748,(178)__u t__ng __a ph__ng,
PI675749,(179)_T 3 tháng,
PI675688,(18)__u t__ng __a ph__ng,
PI675750,(181)_T chi_ng p_n,
PI675751,(182)_T pó lu_ng,
PI675752,(183)_T L_ong tr_ng,
